experiment,precision@10,recall@10,MAP,nDCG@10
baseline_tfidf_only,0.45,0.9,0.6126190476190476,0.741819561903214
tfidf_with_prf,0.4,0.8,0.5660714285714286,0.7306169388219365
bm25_only,0.5,1.0,0.7655555555555555,0.834881113907131
tfidf_bm25_hybrid,0.5,1.0,0.7488888888888887,0.8296842265007073
full_hybrid_with_embeddings,0.5,1.0,0.7488888888888887,0.8296842265007073
